workerid,proliferate.condition,condition,item,persona,question,response,scenario,slide_number_in_experiment,catch_trials,personae,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
75,condition1,,training1,,Which of these two phones is the one Tyler is looking at?,j,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,5,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,,training2,,Which of these two phones is the one Tyler is looking at?,f,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,6,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,,training3,,Which of these two phones is the one Tyler is looking at?,j,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,7,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,screen_true,backpacking,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler want to go on a 3 day backpacking trip.,9,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,m,apples,ra,Which phone is Arthur looking at in the picture?,f,"Arthur and Rachel want to go apple picking, but they don't know much about what their area offers.",10,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,screen_underinf,event,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for a venue for an event.,11,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,m,camping,ra,Which phone is Arthur looking at in the picture?,f,Arthur and Rachel are out of town. They are trying to figure out a good spot for a camping trip.,12,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,screen_false,lake,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler want to go camping on a lake. They have several options.,13,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,nnm,hotelroom,ra,Which phone is Arthur looking at in the picture?,f,Arthur and Rachel need to book a hotel room for a night. They've considered different options.,14,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,screen_underinf,outoftown,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are planning a trip out of town.,15,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,nnm,friendvisit,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur want to go visit a friend and need to figure out how far she lives from where they are.,16,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
75,condition1,screen_true,weekendhotel,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are considering some hotels for a weekend out of town.,17,[],ra,50,Yes,server too slow,3,1,1,Male,english,Chrome,Windows,864,1536,33.43918333,
